"competition","country","country_code"
"premier-league","England","GB1"
"laliga","Spain","ES1"
"serie-a","Italy","IT1"
"bundesliga","Germany","L1"
"ligue-1","France","FR1"
"liga-portugal","Portugal","PO1"
"premier-liga","Russia","RU1"
"super-lig","Turkey","TR1"
"eredivisie","Netherlands","NL1"
"jupiler-pro-league","Belgium","BE1"
"premier-liga","Ukraine","UKR1"
"bundesliga","Austria","A1"
"super-league-1","Greece","GR1"
"premiership","Scotland","SC1"
"super-league","Switzerland","C1"
"1-hnl","Croatia","KR1"
"ekstraklasa","Poland","PL1"
"fortuna-liga","Czech Republic","TS1"
"superligaen","Denmark","DK1"
"super-liga-srbije","Serbia","SER1"
"liga-1","Romania","RO1"
"allsvenskan","Sweden","SE1"
"nemzeti-bajnoksag","Hungary","UNG1"
"eliteserien","Norway","NO1"
"protathlima-cyta","Cyprus","ZYP1"
